# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
b19d68b3ab72dbf90599ebcaba92a451	75	0	39	129	0	135	80	0	62	104	0	52	170	132	95	0	53	0	135	0	327	247	0	88	31	0	374	31	113	81	53	577	0	0	170	0	27	0	0	0	0	0	0	0	0
a25dd45c3b21fb0c0049a13188177201	0	1442	0	0	0	0	0	203	0	0	0	0	1	0	0	0	0	0	0	106	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8aa19f0406cada9b46023ad4e714353	456	0	52	0	28	2	551	0	275	0	0	106	22	0	0	0	0	0	501	7	215	0	0	190	106	0	38	0	5	32	0	0	0	0	18	169	0	0	0	11	11	0	0	0	0
e6a2d5dfeeb2d2d706d48fedef4f8bdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	56	332	617	602	8
7123f2978bf2e950a404caad481d6523	20	732	8	0	45	0	3	16	14	0	6	12	29	367	7	0	1	85	7	130	10	0	12	6	1	25	17	0	11	5	17	508	5	0	24	38	0	0	0	0	0	0	0	0	0
0208c55ad805bcbded31370a7d66a8c0	0	0	0	0	30	0	0	0	0	0	64	0	1646	0	28	0	7	1284	0	0	0	0	217	0	0	0	0	0	56	0	0	0	20	0	68	0	0	0	0	0	0	0	0	0	0
96316671da34e9baa5e854f73f71f3ed	0	194	57	0	589	0	0	128	85	0	188	4	226	0	0	0	0	10	0	60	158	0	82	23	0	29	140	0	61	300	0	309	52	0	60	12	0	0	0	0	0	0	0	4	0
04f010ef15b9daacbe850938bfe8950e	199	30	126	0	30	78	104	35	95	0	8	240	0	2	144	0	4	49	53	32	31	0	0	270	48	0	51	0	53	63	255	25	35	0	104	392	0	0	0	0	0	0	0	2	0
fff6186815dca50f176eed8f70567a04	214	140	34	0	16	416	136	205	0	0	30	39	0	0	0	0	0	25	76	190	0	0	0	22	264	56	0	0	0	15	93	79	29	0	0	113	0	0	0	0	0	0	0	0	6
7447f05a5d52153c76ef9928f960a487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	213	638	653	11
